Country,2/15/2014,3/15/2014,4/15/2014,5/15/2014,6/15/2014,7/15/2014,8/15/2014,9/15/2014,10/15/2014,11/15/2014,12/15/2014,1/15/2015,2/15/2015,3/15/2015,4/15/2015,5/15/2015,6/15/2015,7/15/2015,8/15/2015,9/15/2015,10/15/2015,11/15/2015,12/15/2015,1/15/2016,2/15/2016,3/15/2016,4/15/2016,5/15/2016,6/15/2016,7/15/2016,8/15/2016,9/15/2016,10/15/2016,11/15/2016,12/15/2016,1/15/2017,2/15/2017,3/15/2017,4/15/2017,5/15/2017,6/15/2017,7/15/2017
U.S. Imports from Malaysia of Crude Oil (Thousand Barrels),,,,,,,,,,,,182,,,,,,,,,,,,,725,,,634,,,,,298,,,,,,,,,
U.S. Imports from Mauritania of Crude Oil (Thousand Barrels),100,,,,200,191,,,,,,,,,,,,,,,,,,,,,,511,,,,,,,,,,,543,,,
U.S. Imports from Mexico of Crude Oil (Thousand Barrels),22127,24779,20705,23215,21914,22119,22764,24477,22767,26506,23174,23968,19617,24921,19218,18202,23552,21427,20776,17300,21270,18945,21906,19541,14189,17814,21008,17545,18674,19588,17416,15481,17196,18675,15952,19686,14457,17055,18152,20745,20280,18225
U.S. Imports from Netherlands of Crude Oil (Thousand Barrels),256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314,,,,,,,,,,,,
U.S. Imports from Netherlands Antilles of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from New Zealand of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Norway of Crude Oil (Thousand Barrels),1050,1074,1037,,,,,,,,,,591,575,,,,,2049,,,,,,1050,2704,1250,,1050,2046,,2789,2099,,,2049,,,,,2493,571
U.S. Imports from Oman of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,2044,2051,1579,1741,574,1947,,597,417,,,,,,,
U.S. Imports from Papua New Guinea of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Peru of Crude Oil (Thousand Barrels),376,380,399,,721,399,145,234,,,398,355,,,,480,,421,328,,148,,283,468,,360,,,,,,,,198,,,,,,,,
U.S. Imports from Russia of Crude Oil (Thousand Barrels),,,,710,951,2628,964,708,713,,,710,698,,,705,492,1212,5122,710,2277,598,1466,493,250,700,1723,356,1699,1985,2419,2191,1413,,743,,699,705,910,2625,2385,2092
U.S. Imports from Singapore of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from South Africa of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Spain of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Sweden of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Syria of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Thailand of Crude Oil (Thousand Barrels),250,,803,259,240,382,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,
U.S. Imports from Trinidad and Tobago of Crude Oil (Thousand Barrels),,,,361,,,361,,,377,,361,,,376,360,,361,360,,360,353,6,240,120,,365,360,,,360,759,,361,727,,,362,,1000,417,300
U.S. Imports from Tunisia of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Turkey of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from United Kingdom of Crude Oil (Thousand Barrels),,512,,526,,896,1,,516,520,,511,394,411,527,503,508,,503,,261,536,,527,,997,513,,728,325,1596,1048,,540,796,1578,,743,510,1040,,527
U.S. Imports from Vietnam of Crude Oil (Thousand Barrels),,,297,983,,674,342,284,573,291,299,,195,574,,,294,283,336,860,306,472,,,286,289,239,,292,,,,297,,,,,,,,,
U.S. Imports from Virgin Islands of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Imports from Yemen of Crude Oil (Thousand Barrels),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,
